Ticker,Calls or Puts,Today Date,Time of Retrieval,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,Days left to Expiration,Underlying Price
SPY,Calls,2019-01-29,17:40:48,SPY190227C00257000,257.0,USD,8.99,8.99,,,16,11.35,11.62,REGULAR,2019-02-27,2019-01-23 22:53:49,0.26068854553222653,True,29,263.78
SPY,Calls,2019-01-29,17:40:48,SPY190227C00275000,275.0,USD,1.12,1.12,,310.0,1074,1.16,1.19,REGULAR,2019-02-27,2019-01-26 02:08:15,0.1583946466064453,False,29,263.78
SPY,Puts,2019-01-29,17:40:48,SPY190227P00245000,245.0,USD,0.79,0.79,,124.0,645,0.79,0.81,REGULAR,2019-02-27,2019-01-26 02:19:02,0.2098467687988281,False,29,263.78
SPY,Puts,2019-01-29,17:40:48,SPY190227P00263000,263.0,USD,3.51,3.51,,6.0,60,3.43,3.49,REGULAR,2019-02-27,2019-01-26 02:22:38,0.12842668457031248,False,29,263.78
SPY,Puts,2019-01-29,17:40:48,SPY190227P00265000,265.0,USD,4.05,4.05,,34.0,232,4.11,4.17,REGULAR,2019-02-27,2019-01-26 00:18:56,0.11664701721191406,True,29,263.78
