Ticker,Calls or Puts,Today Date,Time of Retrieval,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,Days left to Expiration,Underlying Price
AAPL,Calls,2019-01-29,17:40:55,AAPL190201C00100000,100.0,USD,57.7,0.0,0.0,6,19,0.0,0.0,REGULAR,2019-02-01,2019-01-26 02:14:59,1.0000000000000003e-05,True,3,263.78
AAPL,Calls,2019-01-29,17:40:55,AAPL190201C00105000,105.0,USD,42.15,0.0,0.0,16,16,0.0,0.0,REGULAR,2019-02-01,2019-01-07 22:09:29,1.0000000000000003e-05,True,3,263.78
AAPL,Calls,2019-01-29,17:40:55,AAPL190201C00115000,115.0,USD,42.25,0.0,0.0,5,13,0.0,0.0,REGULAR,2019-02-01,2019-01-26 00:18:22,1.0000000000000003e-05,True,3,263.78
AAPL,Calls,2019-01-29,17:40:55,AAPL190201C00120000,120.0,USD,35.1,0.0,0.0,13,52,0.0,0.0,REGULAR,2019-02-01,2019-01-28 23:41:28,1.0000000000000003e-05,True,3,263.78
AAPL,Calls,2019-01-29,17:40:55,AAPL190201C00125000,125.0,USD,31.23,0.0,0.0,21,62,0.0,0.0,REGULAR,2019-02-01,2019-01-29 02:29:28,1.0000000000000003e-05,True,3,263.78
AAPL,Calls,2019-01-29,17:40:55,AAPL190201C00130000,130.0,USD,26.1,0.0,0.0,705,378,0.0,0.0,REGULAR,2019-02-01,2019-01-29 01:20:02,1.0000000000000003e-05,True,3,263.78
AAPL,Calls,2019-01-29,17:40:55,AAPL190201C00134000,134.0,USD,20.7,0.0,0.0,14,24,0.0,0.0,REGULAR,2019-02-01,2019-01-28 21:22:13,1.0000000000000003e-05,True,3,263.78
AAPL,Calls,2019-01-29,17:40:55,AAPL190201C00135000,135.0,USD,21.05,0.0,0.0,52,75,0.0,0.0,REGULAR,2019-02-01,2019-01-29 01:35:47,1.0000000000000003e-05,True,3,263.78
AAPL,Calls,2019-01-29,17:40:55,AAPL190201C00136000,136.0,USD,17.1,0.0,0.0,2,21,0.0,0.0,REGULAR,2019-02-01,2019-01-24 22:45:24,1.0000000000000003e-05,True,3,263.78
AAPL,Calls,2019-01-29,17:40:55,AAPL190201C00137000,137.0,USD,19.1,0.0,0.0,5,37,0.0,0.0,REGULAR,2019-02-01,2019-01-29 00:31:16,1.0000000000000003e-05,True,3,263.78
AAPL,Calls,2019-01-29,17:40:55,AAPL190201C00138000,138.0,USD,15.16,0.0,0.0,1,45,0.0,0.0,REGULAR,2019-02-01,2019-01-24 22:44:50,1.0000000000000003e-05,True,3,263.78
AAPL,Calls,2019-01-29,17:40:55,AAPL190201C00139000,139.0,USD,15.95,0.0,0.0,49,71,0.0,0.0,REGULAR,2019-02-01,2019-01-28 22:25:40,1.0000000000000003e-05,True,3,263.78
AAPL,Calls,2019-01-29,17:40:55,AAPL190201C00140000,140.0,USD,16.6,0.0,0.0,77,195,0.0,0.0,REGULAR,2019-02-01,2019-01-29 02:29:52,1.0000000000000003e-05,True,3,263.78
AAPL,Calls,2019-01-29,17:40:55,AAPL190201C00141000,141.0,USD,14.58,0.0,0.0,59,87,0.0,0.0,REGULAR,2019-02-01,2019-01-28 23:03:47,1.0000000000000003e-05,True,3,263.78
AAPL,Calls,2019-01-29,17:40:55,AAPL190201C00142000,142.0,USD,14.5,0.0,0.0,70,211,0.0,0.0,REGULAR,2019-02-01,2019-01-29 01:52:25,1.0000000000000003e-05,True,3,263.78
AAPL,Calls,2019-01-29,17:40:55,AAPL190201C00143000,143.0,USD,13.6,0.0,0.0,119,657,0.0,0.0,REGULAR,2019-02-01,2019-01-29 01:35:28,1.0000000000000003e-05,True,3,263.78
AAPL,Calls,2019-01-29,17:40:55,AAPL190201C00144000,144.0,USD,12.9,0.0,0.0,62,763,0.0,0.0,REGULAR,2019-02-01,2019-01-29 01:20:42,1.0000000000000003e-05,True,3,263.78
AAPL,Calls,2019-01-29,17:40:55,AAPL190201C00145000,145.0,USD,11.9,0.0,0.0,2633,1582,0.0,0.0,REGULAR,2019-02-01,2019-01-29 02:28:07,1.0000000000000003e-05,True,3,263.78
AAPL,Calls,2019-01-29,17:40:55,AAPL190201C00146000,146.0,USD,11.1,0.0,0.0,175,238,0.0,0.0,REGULAR,2019-02-01,2019-01-29 02:05:03,1.0000000000000003e-05,True,3,263.78
