Ticker,Calls or Puts,Today Date,Time of Retrieval,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,Days left to Expiration,Underlying Price
SPY,Calls,2019-01-27,16:20:05,SPY190128C00255500,255.5,USD,10.16,1.3599997,15.454541,1,18,10.21,10.56,REGULAR,2019-01-28,2019-01-25 20:21:07,0.3842835009765625,True,1,265.78
SPY,Calls,2019-01-27,16:20:05,SPY190128C00256000,256.0,USD,9.77,2.4000006,32.564457,4,704,9.75,10.06,REGULAR,2019-01-28,2019-01-26 01:57:34,0.370123486328125,True,1,265.78
SPY,Calls,2019-01-27,16:20:05,SPY190128C00256500,256.5,USD,9.72,2.7600002,39.655174,1,29,9.25,9.56,REGULAR,2019-01-28,2019-01-25 22:35:25,0.35547519531249994,True,1,265.78
SPY,Calls,2019-01-27,16:20:05,SPY190128C00257000,257.0,USD,8.82,2.4199996,37.812492,51,777,8.71,9.06,REGULAR,2019-01-28,2019-01-26 02:14:11,0.340826904296875,True,1,265.78
SPY,Calls,2019-01-27,16:20:05,SPY190128C00257500,257.5,USD,8.43,2.88,51.89189,1,232,8.24,8.53,REGULAR,2019-01-28,2019-01-26 00:54:12,0.31641308593749995,True,1,265.78
SPY,Calls,2019-01-27,16:20:05,SPY190128C00258000,258.0,USD,7.9,2.7600002,53.696503,134,112,7.76,8.04,REGULAR,2019-01-28,2019-01-26 01:13:50,0.304694453125,True,1,265.78
SPY,Calls,2019-01-27,16:20:05,SPY190128C00258500,258.5,USD,7.76,2.21,39.81982,11,369,7.22,7.54,REGULAR,2019-01-28,2019-01-25 20:45:48,0.29004616210937495,True,1,265.78
SPY,Calls,2019-01-27,16:20:05,SPY190128C00259000,259.0,USD,5.2,0.0,0.0,12,283,6.72,7.04,REGULAR,2019-01-28,2019-01-24 20:57:42,0.27539787109374997,True,1,265.78
SPY,Calls,2019-01-27,16:20:05,SPY190128C00259500,259.5,USD,6.23,1.9900002,46.93397,136,370,6.27,6.55,REGULAR,2019-01-28,2019-01-26 02:22:10,0.26270268554687504,True,1,265.78
SPY,Calls,2019-01-27,16:20:05,SPY190128C00260000,260.0,USD,5.85,2.4499998,72.058815,662,7079,5.78,6.05,REGULAR,2019-01-28,2019-01-26 02:33:09,0.2475661181640625,True,1,265.78
SPY,Calls,2019-01-27,16:20:05,SPY190128C00261000,261.0,USD,4.75,2.04,75.27675,399,862,4.76,5.07,REGULAR,2019-01-28,2019-01-26 02:29:47,0.22071091796874998,True,1,265.78
SPY,Calls,2019-01-27,16:20:05,SPY190128C00262000,262.0,USD,3.9,1.52,63.865543,825,3620,3.79,4.1,REGULAR,2019-01-28,2019-01-26 02:42:56,0.19458813232421873,True,1,265.78
SPY,Calls,2019-01-27,16:20:05,SPY190128C00263000,263.0,USD,2.91,1.6300001,127.343765,1710,3565,2.96,3.05,REGULAR,2019-01-28,2019-01-26 02:35:10,0.14991084472656252,True,1,265.78
SPY,Calls,2019-01-27,16:20:05,SPY190128C00264000,264.0,USD,2.18,1.3600001,165.85368,2001,4275,2.1,2.19,REGULAR,2019-01-28,2019-01-26 02:44:20,0.13721565917968753,True,1,265.78
SPY,Calls,2019-01-27,16:20:05,SPY190128C00265000,265.0,USD,1.41,0.92999995,193.74998,11508,5874,1.37,1.45,REGULAR,2019-01-28,2019-01-26 02:43:10,0.12915909912109375,True,1,265.78
SPY,Calls,2019-01-27,16:20:05,SPY190128C00266000,266.0,USD,0.84,0.58,223.07692,26168,4493,0.8,0.85,REGULAR,2019-01-28,2019-01-26 02:44:48,0.12183495361328125,False,1,265.78
SPY,Calls,2019-01-27,16:20:05,SPY190128C00267000,267.0,USD,0.42,0.22999999,121.05262,15852,3766,0.42,0.46,REGULAR,2019-01-28,2019-01-26 02:44:50,0.12037012451171875,False,1,265.78
SPY,Calls,2019-01-27,16:20:05,SPY190128C00268000,268.0,USD,0.2,0.13,185.71428,8894,2180,0.19,0.2,REGULAR,2019-01-28,2019-01-26 02:44:20,0.11548736083984376,False,1,265.78
SPY,Calls,2019-01-27,16:20:05,SPY190128C00269000,269.0,USD,0.07,0.02,39.999996,8085,1564,0.07,0.08,REGULAR,2019-01-28,2019-01-26 02:44:46,0.1147549462890625,False,1,265.78
SPY,Calls,2019-01-27,16:20:05,SPY190128C00270000,270.0,USD,0.02,-0.02,-50.0,200552,1572,0.01,0.02,REGULAR,2019-01-28,2019-01-26 02:44:45,0.10743080078125,False,1,265.78
SPY,Calls,2019-01-27,16:20:05,SPY190128C00275000,275.0,USD,0.01,0.0,0.0,31,2035,0.0,0.01,REGULAR,2019-01-28,2019-01-25 20:13:42,0.1914143359375,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00175000,175.0,USD,0.01,0.0,0.0,10,33,0.0,0.01,REGULAR,2019-01-28,2019-01-12 00:44:33,1.75000125,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00185000,185.0,USD,0.02,0.0,0.0,20,42,0.0,0.01,REGULAR,2019-01-28,2019-01-15 20:50:13,1.5312523437499999,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00190000,190.0,USD,0.01,0.0,0.0,10,411,0.0,0.01,REGULAR,2019-01-28,2019-01-15 22:50:10,1.4375028125,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00195000,195.0,USD,0.13,0.0,0.0,1,53,0.0,0.01,REGULAR,2019-01-28,2019-01-04 01:42:48,1.3125034374999998,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00196000,196.0,USD,0.13,0.0,0.0,200,200,0.0,0.01,REGULAR,2019-01-28,2019-01-04 02:35:12,1.3125034374999998,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00198000,198.0,USD,0.01,0.0,0.0,240,450,0.0,0.01,REGULAR,2019-01-28,2019-01-18 21:12:30,1.2500037499999999,False,1,265.78
SPY,Puts,2019-01-27,16:20:05,SPY190128P00199000,199.0,USD,0.01,0.0,0.0,240,660,0.0,0.01,REGULAR,2019-01-28,2019-01-18 21:12:38,1.2500037499999999,False,1,265.78
